codigo,nome,latitude,longitude,altitude_m,situacao
A401,SALVADOR,-13.00555555,-38.50583333,47.56,Operante
A402,BARREIRAS,-12.12472221,-45.02694443,474.17,Operante
A404,LUIS EDUARDO MAGALHAES,-12.08499999,-45.70527777,748,Operante
A405,CARAVELAS,-17.73944444,-39.25861111,6.05,Pane
A406,CRUZ DAS ALMAS,-12.67555554,-39.08944444,219.76,Operante
A407,ITIRUCU,-13.52777777,-40.11972221,757.42,Pane
A408,ITABERABA,-12.52416666,-40.29972221,250.11,Operante
A410,ILHEUS,-14.65888888,-39.18138888,80.21,Pane
A412,MACAJUBA,-12.13166666,-40.35416666,360,Pane
A413,FEIRA DE SANTANA,-12.1961111,-38.96749999,229.64,Pane
A414,VITORIA DA CONQUISTA,-14.88638888,-40.80138888,879.38,Operante
A415,SANTA RITA DE CASSIA,-11.00333333,-44.53638888,450,Pane
A416,CORRENTINA,-13.33249999,-44.61749999,551.71,Operante
A418,?,,,,
A422,ABROLHOS,-17.96305555,-38.70333333,20.93,Pane
A423,REMANSO,-9.62555554,-42.07722221,397.4,Pane
A424,IRECE,-11.32888888,-41.86444444,768.42,Operante
A425,LENCOIS,-12.55777777,-41.38888888,438.09,Pane
A426,GUANAMBI,-14.20805555,-42.74972221,552.23,Operante
A427,PORTO SEGURO,-16.38888888,-39.18249999,86.36,Pane
A428,SENHOR DO BONFIM,-10.44305555,-40.14833333,532.09,Operante
A429,BARRA,-11.08472221,-43.13888888,407.5,Operante
A430,PIATA,-13.15555555,-41.77416666,1283.95,Pane
A431,CONDE,-12.03583333,-37.68388888,31.9,Pane
A432,BURITIRAMA,-10.72305554,-43.65111111,506.06,Pane
A433,BRUMADO,-14.18194443,-41.67222221,473.37,Pane
A434,AMARGOSA,-13.00944444,-39.61694443,397.8,Operante
A435,?,,,,
A436,QUEIMADAS,-10.98472221,-39.61694443,310.11,Pane
A437,UNA,-15.28027777,-39.09138888,74.08,Pane
A438,MARAU,-13.90694444,-38.97222221,6.24,Pane
A439,IBOTIRAMA,-12.19305555,-43.21333333,425.12,Pane
A440,JACOBINA,-11.205,-40.465,440.78,Pane
A441,SERRINHA,-11.66472222,-39.02305554,337.79,Pane
A442,EUCLIDES DA CUNHA,-10.53722221,-38.99666666,431.96,Operante
A443,DELFINO,-10.455,-41.20694444,646.24,Pane
A444,VALENCA,-13.3436111,-39.12666666,93.12,Pane
A445,IPIAU,-14.17138888,-39.69249999,132.11,Pane
A446,ITAPETINGA,-15.24472221,-40.22944443,271.48,Pane
A447,BELMONTE,-16.08805555,-39.21527777,89.67,Pane
A448,CURACA,-9.00138888,-39.9125,370,Operante
A449,?,,,,
A450,JEREMOABO,-10.08083332,-38.34583333,261,Pane
A452,FORMOSA DO RIO PRETO,-11.05222222,-45.20083333,488,Pane
A454,?,,,,
A455,ITAMARAJU,-17.00694444,-39.55805555,110,Pane
A456,SALVADOR (RADIO FAROL),-12.80833333,-38.49583333,31,Operante
A458,RIBEIRA DO AMPARO,-11.05861111,-38.44416666,182,Pane
